object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"Prince_LooksHereWhenDone",Actor,-1270,-34390,-100,,,,,,,,
"RockFallPosition4",Actor,3455.002,-33280,3007,,,,,,,,
"TreeLookActor",Actor,519316,618649,401782.7,,,,,,,,
"TreeLookatTarget",Actor,519316,618649,401782.7,,,,,,,,
"EarthquakeLoop_Cue4",AmbientSound,-283.2896,-33934,52.62207,,,,,,,,
"peopletalkloop_Cue_2",AmbientSound,-1463,-34150,592.5703,,,,,,,,
"voegel15_14",AmbientSound,-1024,-36399,1347,,,,,,,,
"WindAmbience_Cue2",AmbientSound,-1659.5,-36847,5643.414,,,,,,,,
"Bench_Wooden_01_2",Bench_Wooden_01_C,1403.724,-36627.44,-186.1641,0,-31.10129,0,,,,,
"Birdcage_4",Birdcage_C,-3032,-39556.84,908,0,-150,0,2,2,2,,
"BlockingVolume2_10",BlockingVolume,-1240,-35400,-100,,,,1,1,1.831857,,
"Book_01_2",Book_01_C,-2335.5,-37443,156.8125,0,-45.00003,0,,,,,
"Book_02_2",Book_02_C,-2228,-37390,156.8125,,,,,,,,
"Books_Preset_5",Books_Preset_01_C,843,-34110,-350.4766,,,,,,,,
"Books_Preset_04_2",Books_Preset_04_C,-1285.5,-39676,389.9375,,,,,,,,
"Books_Preset_10",Books_Preset_04_C,340,-35800.63,-76.46094,0,-90.00034,0,,,,,
"Books_Preset_6",Books_Preset_04_C,-1354.5,-39689,389.9375,0,61.87506,0,,,,,
"Books_Preset_05_2",Books_Preset_05_C,288,-35809,-76.46094,0,-90.00034,0,,,,,
"BP_A0_FallingRocksEvent1",BP_A0_FallingRocksEvent_C,-2242,-35634,828,,,,,,,,
"BP_A0_FallingRocksEvent2",BP_A0_FallingRocksEvent_C,-278,-36076,900,,,,,,,,
"BP_A0_FallingRocksEvent3",BP_A0_FallingRocksEvent_C,845,-34775,792,,,,,,,,
"BP_A0_FallingRocksEvent4",BP_A0_FallingRocksEvent_C,1839,-33001,575,0,92.81247,0,,,,,
"BP_A0_Intro_4",BP_A0_Intro_C,-2293,-39749,769,,,,,,,,
"BP_A0_KingsSpeech_2",BP_A0_KingsSpeech_C,-65.29926,-33734.81,310.2363,3.200135,101.8295,5.818171,,,,,
"BP_A0_PipeTutorial_2",BP_A0_PipeTutorial_C,-72,-34088,-229,,,,0.915,0.915,0.915,,
"BP_A0_PrinceThief",BP_A0_PrinceThief_C,605,-34105,-317,0,-160.3125,0,,,,,
"BP_A0_PrinceTour1_2",BP_A0_PrinceTour1_C,-1289.858,-34707.44,192.9717,,,,,,,,
"BP_A0_Storm_2",BP_A0_Storm_C,-2107,-34338,-42,0,-90.00003,0,,,,,
"BP_AquaticSurface_2",BP_AquaticSurface_C,-2403.5,-33268,-44.875,0,-33.75024,0,8,15,1,,
"BP_Bed2_4",BP_Bed2_C,422,-35851,-202,,,,,,,,
"BP_BlackoutVolume_2",BP_BlackoutVolume_C,-1632.424,-33655.53,-136.3848,,,,2.102748,2.01211,0.2699142,,
"BP_BlueSafetyInspector2",BP_BlueSafetyInspector_C,-1814.93,-33907.06,-10.6875,0,-49.89637,0,,,,,
"BP_BlueSafetyInspector_2",BP_BlueSafetyInspector_C,-954.9204,-36223.06,-28.875,0,-79.99992,0,,,,,
"BP_PipeSpline1",BP_PipeSpline_C,625,-36531.94,-8.179688,0.0001844151,114.9946,2.947574E-05,4,4,4,,
"BP_PipeSpline10",BP_PipeSpline_C,38,-34092.16,-219.1953,-6.103516E-05,35.00067,-94.99997,,,,,
"BP_PipeSpline11",BP_PipeSpline_C,-314.5,-33214.5,-188,0,-33.75024,0,,,,,
"BP_PipeSpline2",BP_PipeSpline_C,1257.5,-39299.84,590.8125,0,90.00001,0,4,4,4,,
"BP_PipeSpline3",BP_PipeSpline_C,1290.5,-39368.84,386.8125,0,90.00001,0,4,4,4,,
"BP_PipeSpline4",BP_PipeSpline_C,-1584,-33668,-291,90,0,0,2,2,2,,
"BP_PipeSpline5",BP_PipeSpline_C,-1682,-33668,-291,90,0,0,2,2,2,,
"BP_PipeSpline6",BP_PipeSpline_C,-4277.395,-39071,1038,,,,,,,,
"BP_PipeSpline7",BP_PipeSpline_C,-4112.284,-35517.72,1079.814,-10,-24.99954,179.9999,,,,,
"BP_PipeSpline8",BP_PipeSpline_C,-4300.5,-35027.22,1010,0,45.00003,0,,,,,
"BP_PipeSpline9",BP_PipeSpline_C,-3679,-35527.22,185,-10,45.00005,2.167361E-07,,,,,
"BP_PlayerBlockVolume_2",BP_PlayerBlockVolume_C,-649.006,-32905.34,114.4277,,,,1,1,6.126286,,
"BP_TranslucentWater11",BP_TranslucentWater_C,-1715,-33875,-2074.602,,,,11.98834,25.75546,1,,
"BP_TranslucentWater12",BP_TranslucentWater_C,-1354,-32406,-2074.602,,,,3.694673,3.675519,1,,
"BP_TranslucentWater13",BP_TranslucentWater_C,-2483,-33495,-2080.602,,,,3,10,1,,
"BuyQuintupleJump",BuyQuintupleJump_C,364.2357,-33615.97,-213.125,0,-35,0,,,,,
"BuySpeedx2_2",BuySpeedx2_C,263.0522,-33768.66,-214.7344,0,-35,0,,,,,
"CactusRandom2_460",CactusRandom_C,-4031,-38928,320.0547,,,,,,,,
"CactusRandom3_609",CactusRandom_C,-4563,-38501,225.0781,0,-60.00006,0,,,,,
"CactusRandom4_863",CactusRandom_C,-4197,-38290,208.3516,,,,,,,,
"CactusRandom5",CactusRandom_C,-4717,-37143.84,225.0781,0,-90.00006,0,,,,,
"Candlestick_01_5",Candlestick_01_C,1507.524,-36691,-126.1875,,,,,,,,
"Candlestick_8",Candlestick_01_C,-2280,-37411,156.8125,0,16.87509,0,,,,,
"Candlestick_Floor_12",Candlestick_Floor_02_C,532,-35410,-199,,,,,,,,
"Chair_5",Chair_01_C,-1362,-39818,303.4297,,,,,,,,
"Chair_8",Chair_01_C,-1199,-39691,303.4297,0,123.7501,0,,,,,
"ChangeActorVisibility_AboveGroundRocks1",ChangeActorVisibility_C,-2241,-35616,738,,,,,,,,
"ChangeActorVisibility_AboveGroundRocks2-HideRedGuys",ChangeActorVisibility_C,-284,-36069,743.6914,,,,,,,,
"ChangeActorVisibility_AboveGroundRocks2-ShowRocks",ChangeActorVisibility_C,-284,-36069,825,,,,,,,,
"ChangeActorVisibility_AboveGroundRocks3",ChangeActorVisibility_C,846,-34778,702,,,,,,,,
"Chest2_2",Chest_C,621,-34105,-435.1123,0,119.9997,0,,,,BuyTranslocator_Fake_C,1
"CrowdManager_2",CrowdManager_C,-937.9237,-34201.19,-50.68359,,,,,,,,
