object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"A0_EscapeLookHere1",Actor,-8931.22,-32326.04,-3419.885,,,,,,,,
"A0_EscapeLookHere2",Actor,-8931.22,-32751.68,-3419.885,,,,,,,,
"A0_EscapeLookHere3",Actor,-8931.22,-33025.31,-3419.885,,,,,,,,
"Actor_1",Actor,-8928.998,-31330.96,-3423,,,,,,,,
"FallingRockSpawn1",Actor,-8876.723,-32874.03,-2781,0,3.073585E-05,0,,,,,
"FallingRockSpawn2",Actor,-8259.717,-32642.13,-2742,0,3.073585E-05,0,,,,,
"FallingRockSpawn3",Actor,-8624.756,-32251.29,-2747,0,3.073585E-05,0,,,,,
"FallingRockSpawn4",Actor,-8034.816,-31608.22,-2769,0,3.073585E-05,0,,,,,
"FallingRockSpawn5",Actor,-8821.75,-31604.25,-2768,0,3.073585E-05,0,,,,,
"FallingRockSpawn6",Actor,-8553.611,-33640.3,-3007,0,3.073585E-05,0,,,,,
"FallingRockSpawn7",Actor,-8915.713,-33213.82,-3007,0,3.073585E-05,0,,,,,
"AmbientLight256_2",AmbientLight_C,-10123.39,-37751.92,-2649.58,0,135,0,,,,,
"AmbientLight2_5",AmbientLight_C,-5434.863,-33942.8,-1624,,,,,,,,
"AmbientLight3_8",AmbientLight_C,-10417.7,-34678.88,-2140,,,,,,,,
"AmbientLight4_2",AmbientLight_C,-8309.799,-35402.49,-3332.258,,,,,,,,
"AmbientLight_2",AmbientLight_C,-10624.63,-32448.95,-1942,,,,,,,,
"Bass_Atmospheric_15_Cue2_1",AmbientSound,-5422.316,-34056.16,-1657.344,0,3.073585E-05,0,,,,,
"Bass_Atmospheric_15_Cue3_11",AmbientSound,-6105.311,-33781.49,-1657.344,0,3.073585E-05,0,,,,,
"Bass_Atmospheric_15_Cue4",AmbientSound,-8513.256,-33636.08,-1962.344,0,3.073585E-05,0,,,,,
"Bass_Atmospheric_15_Cue_5",AmbientSound,-2237.441,-32178.22,-1962.344,0,3.073585E-05,0,,,,,
"driploop_Cue2",AmbientSound,-10238.63,-33647.65,-2624,0,3.073585E-05,0,,,,,
"driploop_Cue3",AmbientSound,-9910.723,-37846.77,-3840,0,3.073585E-05,0,,,,,
