object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"10",8_C,454.5,-289166,10472,0,140.6246,0,,,,,
"11",8_C,507.5,-288827,10472,0,-163.125,0,,,,,
"12",8_C,450,-288721,10472,0,-140.6248,0,,,,,
"8_2",8_C,528,-288941,10472,0,179.9998,0,,,,,
"9",8_C,511,-289056,10472,0,163.125,0,,,,,
"AbilityChecker_OpenPipeA2",AbilityChecker_C,18299.81,-31739.23,108.5754,,,,,,,,
"Actor3",Actor,6220.903,-46620.84,3321.283,44.9982,-180,0,,,,,
"Actor4_3",Actor,21866.85,14914.53,3444.896,,,,,,,,
"Actor6",Actor,23149.98,14818.83,3444.896,,,,,,,,
"Actor7_3",Actor,20261.68,1669.723,3419.081,,,,,,,,
"Actor_SpawnGold",Actor,64226.36,-12160.61,4123.918,0,28.22541,0,,,,,
"Area1spawnlocation",Actor,14884,24810.1,4626.701,0,-54.99942,0,,,,,
"BaronCoinFlowLook",Actor,19487,-30958,3067,,,,,,,,
"BaronCutsceneLookPoint",Actor,17729,-25609,-73,,,,,,,,
"BobRossPaintSplashParticleLocation",Actor,7175.65,-43843.13,1862.503,0,-45.00003,0,,,,,
"BuildHouseParticleSpawn_CH",Actor,10846.96,-28491.39,-98.2657,0,36.83382,0,,,,,
"BuildHouseParticleSpawn_H1",Actor,10512.19,-27425.01,-98.2657,,,,,,,,
"BuildHouseParticleSpawn_H2",Actor,12239.64,-28982.44,-98.2657,0,45.25574,0,,,,,
"BuildHouseParticleSpawn_H3",Actor,13089.8,-27759.52,-98.2657,,,,,,,,
"BuildHouseParticleSpawn_H4",Actor,12728.06,-26634.98,-98.2657,,,,,,,,
"CagetownPointDirection",Actor,17686,-898,4758,,,,,,,,
"CastlePointPoint",Actor,20869,-43806,4126,,,,,,,,
"Counter4",Actor,3235.057,-47283.71,1770,0.000123,-8.9E-05,89.99949,,,,,
"CS_TownIntro_ForceLookPoint",Actor,18955,-25998,-67,,,,,,,,
"DirectionGuyArea1Pointer",Actor,18712,-8998,4068,,,,,,,,
"DirectionGuyArea3Pointer",Actor,17103,-32267,1850,,,,,,,,
"DirectionGuyArea4Pointer",Actor,22082,-24876,1486,,,,,,,,
"DirectionGuyArea5Pointer",Actor,19529,-30278,3359,,,,,,,,
"DLC1Guy_JumpLocation",Actor,42923.55,-64856.04,3505.304,0,50.00003,0,,,,,
"JumppadLocation",Actor,41887.27,-63946.04,3213.12,0,50.00003,0,,,,,
"KeySpawn",Actor,58691.82,-22759.21,4128.821,-0.000229849,-45.00042,0.0001802444,100,100,100,,
"LookAtTarget",Actor,62348.13,-11529.44,2966.457,,,,,,,,
"LookHereForAMoment",Actor,351.4648,-146.2836,32.88904,0,61.87497,0,,,,,
"LootSpawnPoint",Actor,10456.25,1954.734,3154,0,-145.0002,0,,,,,
"LootSpawnPointForPickaxe",Actor,11155.45,-28398.27,-148.5031,0,-150.0002,0,,,,,
"MoneyPipeForceLook",Actor,19181,-29826,1291,,,,,,,,
"MonsterLookPoint",Actor,21461,-44155,3782,,,,,,,,
"MonsterMovePoint",Actor,21854.06,-44461.91,4385.253,,,,,,,,
