object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"Actor2_9",Actor,149.9999,1199.999,1680,0,9.155273E-05,0,1,1,0.8675,,
"BossFightRoot",Actor,-4472.577,14998.25,-4490,,,,,,,,
"BossFortressRoot",Actor,8550.83,-14999.74,4950,0,-0.000199783,0,,,,,
"BossPuzzle1_Trapdoor",Actor,8742.184,-17225.1,6629.025,0,-0.000199783,0,0.95,0.95,0.95,,
"BossPuzzle2Root",Actor,-249.9995,3199.997,80,0,90.00012,0,,,,,
"BossPuzzle3Root",Actor,1699.997,3199.996,1680,0,90.00007,0,,,,,
"BossStompDamageHeightLower",Actor,12082.02,-15629.04,5494,0,-0.000199783,0,,,,,
"BossStompDamageHeightUpper",Actor,12082.02,-15629.04,5624,0,-0.000199783,0,,,,,
"Dungeon1",Actor,950.0005,-1200.001,480,0,9.155273E-05,0,,,,,
"Dungeon2_9",Actor,3950.001,1199.999,480,0,179.9999,0,,,,,
"LavaRoot",Actor,173.7578,62.99976,-1,,,,0.01,0.01,0.01,,
"LegoRoot",Actor,4670,-1190,-4520,,,,,,,,
"Puzzle1LavaTowerRoot",Actor,50.00537,-5149.989,980,0,9.155273E-05,0,,,,,
"AmbientLight10",AmbientLight_C,11311.41,-10462.03,6911,0,-0.001647949,0,,,,,
"AmbientLight11_6",AmbientLight_C,7300.033,-16400.06,7250,0,-0.001647949,0,,,,,
"AmbientLight12_2",AmbientLight_C,6937.031,-15097.01,7659,0,-0.001647949,0,,,,,
"AmbientLight13_5",AmbientLight_C,9358.023,-18240.07,5876,0,-0.001647949,0,,,,,
"AmbientLight14",AmbientLight_C,7477,-11947,6649,0,-0.001647949,0,,,,,
"AmbientLight15_9",AmbientLight_C,8730.027,-17260.09,7940,0,-0.001647949,0,,,,,
"AmbientLight16_2",AmbientLight_C,9336.121,-17107.49,7938.078,0,-0.001647949,0,,,,,
"AmbientLight17",AmbientLight_C,-2135.004,-9128.91,2787.889,0,-0.001647949,0,,,,,
"AmbientLight18_154",AmbientLight_C,1696.566,-11283.93,4033.795,0,-0.001647949,0,,,,,
"AmbientLight192",AmbientLight_C,17712.66,-14965.13,8331.405,0,-0.001647949,0,,,,,
"AmbientLight19_156",AmbientLight_C,1749.57,-9463.574,5078.639,0,-0.001647949,0,,,,,
"AmbientLight20_158",AmbientLight_C,5374.865,-8013.711,5078.639,0,-0.001647949,0,,,,,
"AmbientLight213_2",AmbientLight_C,8920.68,-14988.74,6035,0,155.0002,0,,,,,
"AmbientLight214",AmbientLight_C,10971.01,-14698.75,6200,0,155.0002,0,,,,,
"AmbientLight215",AmbientLight_C,9990.082,-15394.32,6200,0,155.0002,0,,,,,
"AmbientLight216",AmbientLight_C,8516.09,-13793.4,5754.804,0,155.0002,0,,,,,
"AmbientLight21_160",AmbientLight_C,7999.539,-7559.66,5603.032,0,-0.001647949,0,,,,,
"AmbientLight22_167",AmbientLight_C,-13143.17,-11391.01,1043.59,0,-0.001647949,0,,,,,
