object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"Basalt_Cliff190_ForMap",StaticMeshActor,-6064.742,-40164.42,4013.997,-0.00032,1.109334,-179.9996,5,6.5,-6.75,,
"Basalt_Cliff353_ForMap",StaticMeshActor,-6820.588,-42886.54,-5319.879,8.2E-05,-0.010417,0.000109,10.70101,12.20101,8.25,,
"Basalt_Cliff353_ForMap2",StaticMeshActor,929.4121,-52161.54,-5319.879,8.2E-05,79.9896,0.000109,30.61632,32.11632,8.25,,
"Basalt_Cliff353_ForMap3",StaticMeshActor,-16970.59,463.4609,-7669.879,8.2E-05,159.9896,0.000109,30.61632,32.11632,8.25,,
"Basalt_Cliff353_ForMap4",StaticMeshActor,42854.41,-64261.54,-5319.879,8.2E-05,54.9896,0.000109,30.61632,32.11632,8.25,,
"Basalt_Cliff353_ForMap5",StaticMeshActor,30529.41,18963.46,-5319.879,8.2E-05,54.9896,0.000109,30.61632,32.11632,8.25,,
"Basalt_Cliff353_ForMap6",StaticMeshActor,10004.41,20988.46,-5319.879,8.2E-05,219.9895,0.000109,20.76529,22.2653,8.25,,
"Basalt_Cliff353_ForMap7",StaticMeshActor,9779.414,27663.46,-4385,8.2E-05,219.9895,0.000109,20.76529,22.2653,8.25,,
"Basalt_Cliff353_ForMap8",StaticMeshActor,16954.41,28738.46,-5319.879,8.2E-05,219.9895,0.000109,20.76529,22.2653,8.25,,
"BrickWall_ForMap",StaticMeshActor,-1726.28,8877.811,1681.32,2E-05,144.9996,-1E-06,1.476426,26.11974,6.389369,,
"Cartoon_plank_Fence_ForMap2",StaticMeshActor,-28314.13,3009.24,18892.45,-90,-5.051133,5.051102,250,226.781,222.1048,,
"SecretLavaAreaCastle_MeshForMap",StaticMeshActor,-4224.303,-1951.173,1834.277,4.996017,147.1078,-20.51687,12.13202,12.13202,0.855588,,
"Single_basalt1098",StaticMeshActor,42868.97,-14386.65,4273.92,1.411952,-47.88823,91.61472,400.6324,400.6324,400.6324,,
"Single_basalt1126",StaticMeshActor,42894.25,-13836.65,4273.92,1.411952,5.091761,91.61472,400.6324,400.6324,400.6324,,
"Single_basalt1168",StaticMeshActor,43193.82,-15136.65,4273.92,1.411952,-19.90822,91.61473,400.6324,400.6324,400.6324,,
"Single_basalt1169",StaticMeshActor,43543.82,-15586.65,4273.92,1.411952,-19.90822,91.61473,400.6324,400.6324,400.6324,,
"Single_basalt1170",StaticMeshActor,43848.2,-15914.54,4273.92,1.411952,-197.3763,91.61463,400.6324,400.6324,400.6324,,
"Single_basalt1171",StaticMeshActor,44196.3,-16437.87,4273.92,1.411952,-19.90822,91.61473,400.6324,400.6324,400.6324,,
"Single_basalt1193",StaticMeshActor,42556.38,-9921.57,1838.167,-2.558607,-648.6458,-267.8733,919.9539,218.0387,919.9539,,
"SM_BlackMesh_ForMap1",StaticMeshActor,-27186.32,-17994.48,8395,0,24.99943,0,,,,,
"SM_BlackMesh_ForMap10",StaticMeshActor,-22557.46,-23780.31,8395,0,24.9994,0,,,,,
"SM_BlackMesh_ForMap11",StaticMeshActor,-27379.79,-18526.05,8795,0,-65.00085,0,1.75,2.75,1,,
"SM_BlackMesh_ForMap12_3",StaticMeshActor,-28273.87,-18501.61,8795,0,-65.00085,0,2.75,5.125,1,,
"SM_BlackMesh_ForMap13",StaticMeshActor,-27548.82,-18163.53,6795,0,-65.00085,0,0.125,2.75,1,,
"SM_BlackMesh_ForMap14",StaticMeshActor,-26570.23,-18369.22,8395,0,24.99943,0,,,,,
"SM_BlackMesh_ForMap15",StaticMeshActor,-26401.17,-18731.75,8795,0,24.99943,0,3.25,0.245,1,,
"SM_BlackMesh_ForMap2",StaticMeshActor,-27017.26,-18357,8795,0,24.99943,0,1,1.75,1,,
"SM_BlackMesh_ForMap3",StaticMeshActor,-27186.3,-17994.49,8795,0,-65.00085,0,2.75,1,1,,
"SM_BlackMesh_ForMap4",StaticMeshActor,-26855.32,-22253.65,7995,0,-65.00085,0,13,4.25,1,,
"SM_BlackMesh_ForMap5",StaticMeshActor,-26492.76,-22084.5,8094.985,0,-65.00085,0,1.75,2,1,,
"SM_BlackMesh_ForMap6",StaticMeshActor,-22264.67,-24526.3,7995,0,-65.00085,0,3,8,1,,
"SM_BlackMesh_ForMap7",StaticMeshActor,-22349.19,-24345.02,6395,0,-65.00085,0,3,8,1,,
"SM_BlackMesh_ForMap8",StaticMeshActor,-23062.02,-24236.03,6395,0,-65.00085,0,1,1.5,1,,
"SM_BlackMesh_ForMap9",StaticMeshActor,-22726.51,-23417.8,8395,0,24.9994,0,,,,,
"SM_floor_tile8_ForMap",StaticMeshActor,40468.55,-53117.25,1103.393,7E-06,50.00114,90.00008,3.637561,0.787615,7.5,,
"SM_Wall_ForMap",StaticMeshActor,-14612.81,2241.959,3340.068,4.1E-05,-81.9946,-89.99907,6.002327,2.002327,0.127328,,
"SM_Wall_ForMap2",StaticMeshActor,-14612.81,2241.958,3340.068,0.001264,-171.9943,-89.99975,11.62733,2.002327,1.002328,,
"SM_Wall_ForMap3",StaticMeshActor,-17973.48,1365.358,3340.068,0.00127,-171.9943,-89.99975,3,2,1,,
"SM_Wall_ForMap4",StaticMeshActor,-18633.23,-2565.66,3340.068,0.00127,-171.9943,-89.99975,1,2,11.5,,
"SM_Wall_ForMap5",StaticMeshActor,-16225.8,-1016.74,3339.007,-0.001899,8.004702,-89.99926,4.233889,2.002327,3.002327,,
"SM_Wall_ForMap6",StaticMeshActor,-17014.57,-1862.465,3340.068,-0.001892,8.004681,-89.99927,2.25,2,2.608862,,
"SM_Wall_ForMap7",StaticMeshActor,-18791.97,-1377.577,3340.068,-0.001899,8.004702,-89.99926,4.233889,2.002327,3.002327,,
"Volcanic_Rock_47_ForMap",StaticMeshActor,10735.8,11556.89,5393,0.041452,-139.1868,179.9965,40.25,51.5,-67.75,,
