object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"AmbientLight2_5",AmbientLight_C,-220.8293,-21353.59,3745.209,,,,,,,,
"AmbientLight3_8",AmbientLight_C,-391.7187,-16962.49,3666.352,,,,,,,,
"AmbientLight4",AmbientLight_C,-1222.895,-15917.51,4371.31,,,,,,,,
"AmbientLight5_15",AmbientLight_C,304.9257,-17996.28,3985.108,,,,,,,,
"AmbientLight6",AmbientLight_C,-4299.214,-17602.93,4101.521,,,,,,,,
"AmbientLight_2",AmbientLight_C,-1555.351,-20196.18,4813.304,,,,,,,,
"AtmosphericFog_1",AtmosphericFog,-1030.603,-17651.16,3699.071,,,,,,,,
"CineCameraActor2",CineCameraActor,-123.3169,-16887.35,3559.249,-7.984777,-120.7535,0.0002232922,,,,,
"Crystal1_2",Crystal1_C,362.6191,-17810.64,4278.226,0,0,179.9999,0.8044353,0.8044353,0.8044353,,
"Crystal4",Crystal1_C,564.1411,-17984.71,4254.505,0,-33.75009,179.9999,0.5915167,0.5915167,0.5915167,,
"Crystal10",Crystal2_C,409.9654,-18419.79,5312.109,60.37725,43.94256,-32.31024,1.190386,1.190386,1.190386,,
"Crystal2_2",Crystal2_C,-1383.694,-17842.62,3377.044,28.12501,0,0,0.2650539,0.2650539,0.2650539,,
"Crystal3",Crystal2_C,-1369.783,-17932.58,3363.354,25.81798,25.15664,-10.93936,0.1803801,0.1803801,0.1803801,,
"Crystal5_6",Crystal2_C,-3656.014,-16279.94,5562.53,-3.24646,16.56892,-79.22269,0.7893766,0.7893766,0.7893766,,
"Crystal6",Crystal2_C,-4131.603,-16449.99,5836.846,-4.281525,22.10982,-57.08658,,,,,
"Crystal7",Crystal2_C,-3826.259,-16321.44,5342.857,-10.66522,0.3354827,-104.8412,0.7231166,0.7231166,0.7231166,,
"Crystal8_11",Crystal2_C,389.4895,-18282.61,4642.387,2.149597,-22.40186,-101.6758,0.8295934,0.8295934,0.8295934,,
"Crystal9",Crystal2_C,369.2413,-18383.82,4936.391,58.39712,-23.07727,-90.81207,,,,,
"CircleHoleDecalSharp_7",DecalActor,-2644.198,-16853.35,3396.762,,,,1,0.8930039,0.8930039,,
"M_decal_dirt10",DecalActor,-1093.495,-18807.13,2992.781,-0.0008347935,337.503,-90.00169,4.705083,2.26972,1.925013,,
"M_decal_dirt11",DecalActor,-2091.184,-18380.27,2992.787,-0.0004518113,348.7523,-90.00156,4.705083,2.26972,1.925013,,
"M_decal_dirt12",DecalActor,-2392.792,-17627.58,2992.808,-0.001563993,286.8777,-90.00001,4.705083,2.26972,1.925013,,
"M_decal_dirt13",DecalActor,-3289.021,-16773.81,2992.837,-0.001564,286.8777,-90.00001,2.302235,2.26972,1.925013,,
"M_decal_dirt14",DecalActor,-4148.334,-17034.53,3007.24,-0.001564,286.8777,-90.00001,2.302235,2.26972,1.925013,,
"M_decal_dirt15",DecalActor,-4392.441,-18392.44,3007.205,-0.0009236957,236.2531,-89.99857,2.302235,2.26972,1.925013,,
"M_decal_dirt16",DecalActor,-3499.443,-18592.76,3007.19,-0.001693562,281.2532,-89.99955,2.302235,2.26972,1.925013,,
"M_decal_dirt17",DecalActor,-2655.215,-18424.79,3007.184,-0.001694,281.2532,-89.99955,2.302235,2.26972,1.925013,,
