object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"SplashRoom_LavaRoot",Actor,5997.706,-1917.693,1059,0,-151,0,,,,,
"AmbientLight21_2",AmbientLight_C,4335.763,-2073.113,1640.034,0,-151,0,,,,,
"AmbientLight24_4",AmbientLight_C,4423.383,-2749.193,1640.034,0,-151,0,,,,,
"LavaAmbient2_Cue_2",AmbientSound,3425.871,897.2422,1142.604,0,2.219811E-05,0,,,,,
"DecalCrack12",DecalActor,5629.241,-111.7832,1743.074,0.0002868679,-64.9997,89.99989,,,,,
"DecalCrack14",DecalActor,6076.655,-1075.445,1844.11,-90,26.56503,-176.5638,2.847793,1.923895,1.923895,,
"DecalCrack2_13",DecalActor,5522.157,125.2305,1727.476,0.0002322264,-89.99992,89.99996,,,,,
"DecalCrack3_16",DecalActor,5696.591,1034.184,1910.144,-22.49963,-179.9999,-179.9999,,,,,
"DecalCrack4_19",DecalActor,958.9941,2155.652,1774.415,0.0002595472,90.0002,-106.8752,3.211813,0.5523412,0.5488576,,
"DecalCrack5_24",DecalActor,1014.815,404.2813,1763.042,0.0002936981,-123.7517,89.99929,,,,,
"DecalCrack6_27",DecalActor,4118.672,34.4707,1433.16,0.0002253962,-123.7515,-179.9996,1.834433,1.417217,1.417217,,
"DecalCrack7_30",DecalActor,3136.809,310.6973,1206.115,-58.2804,-134.4394,134.4408,1,1.389516,1.389516,,
"DecalCrack8_42",DecalActor,1655.896,2885.132,2794.542,10.38409,112.8958,-85.64664,3.181052,0.8639623,0.852446,,
"DecalCrack9_47",DecalActor,2696.423,221.6133,1642.421,11.25028,-89.99996,89.99988,1.246457,0.7990746,0.7990746,,
"DecalCrack_10",DecalActor,3652.292,2149.578,1360.444,0.0002049057,-22.50007,2.60551E-11,1.729641,1.36482,1.36482,,
"NailCrack",DecalActor,4022.61,132.8516,1086.397,6.830189E-05,-123.7516,-180,1,1.286234,1.286234,,
"Nailcrack2",DecalActor,4179.896,-1182.199,1174.12,4.098113E-05,168.75,89.99995,1,1.84851,1.84851,,
"NailCrackDecal",DecalActor,4034.042,153.8906,1190.011,4.098113E-05,-123.7516,89.99907,,,,,
"NailCrackDecal2",DecalActor,3157.124,433.1172,1121.032,-0.0001229434,-140.6245,89.9998,2.789267,2.789267,2.789267,,
"NailCrackDecal3",DecalActor,3774.405,973.7813,1113.758,-33.74978,123.7508,89.99987,0.5629388,0.5629388,0.5629388,,
"NailCrackDecal4",DecalActor,3812.276,1022.441,1110.426,-25.79413,158.5297,135.4961,0.4293585,0.4293585,0.4293585,,
"NailCrackDecal5",DecalActor,4579.757,1969.039,1379.176,-25.79413,158.5297,135.4961,0.2441438,0.2441438,0.2441438,,
"NailCrackDecal6",DecalActor,4574.486,1969.064,1352.882,-25.79383,158.5299,45.49772,0.244144,0.244144,0.244144,,
"NailCrackDecal7",DecalActor,4516.601,2015.139,1339.761,-0.2894702,135.6123,50.86831,0.244144,0.244144,0.244144,,
"NailCrackDecal8",DecalActor,4279.077,2024.053,1225.99,-90,26.56503,-150.3165,2.316463,2.316463,2.316463,,
"NailCrackDecal9",DecalActor,4948.733,2090.314,1633.842,3.411584,99.80851,-89.99934,2.380847,3.728762,3.728762,,
"SmokeLava2",Emitter,2895.032,1239.285,1142.003,0,2.219811E-05,0,,,,,
"SmokeLava_6",Emitter,4558.39,337.6211,1151.929,0,2.219811E-05,0,,,,,
"SupralandMagmaSmoke5",Emitter,2989.06,1293.773,1070.06,0,65.54623,0,0.33009,0.33009,0.33009,,
"SupralandMagmaSmoke6_0",Emitter,4197.508,977.668,1070.06,0,65.54623,0,0.33009,0.33009,0.33009,,
"SupralandMagmaSmoke7_1",Emitter,4675.653,-933.1406,1070.06,0,65.54623,0,0.33009,0.33009,0.33009,,
"LavaKillvolume4",Killvolume_C,3053.712,889.8027,1021.117,0,174.2364,0,3.046546,2.613754,0.081974,,
"PipeSystemBuilder4",PipeSystemBuilder_C,2122.249,2246.137,553.583,-7.666931,-78.43381,80.8009,,,,,
"PipeSystemBuilder5",PipeSystemBuilder_C,4691.403,1670.063,1227.645,7.53296,-112.3222,95.82568,0.528378,0.528378,0.528378,,
"PipeSystemBuilder7",PipeSystemBuilder_C,5811.72,1123.219,2026.21,-9.992065,113.5325,-145.9068,0.5,0.5,0.5,,
"PipesystemNewDLC4",PipesystemNewDLC_C,3473.562,2373.377,1345.992,90,0,-124.3346,1.080169,1.080169,1.080169,,
"Lavalight",PointLight,4082.058,1653.516,983.9077,0,2.219811E-05,0,,,,,
"Lavalight10",PointLight,1612.677,738.0469,983.9077,0,2.219811E-05,0,,,,,
"Lavalight11",PointLight,813.5859,706.793,983.9077,0,2.219811E-05,0,,,,,
"Lavalight12",PointLight,243.7695,770.1855,983.9077,0,2.219811E-05,0,,,,,
"Lavalight13",PointLight,473.498,2007.49,983.9077,0,2.219811E-05,0,,,,,
"Lavalight14",PointLight,1222.241,2002.525,983.9077,0,2.219811E-05,0,,,,,
"Lavalight15",PointLight,2007.533,1884.801,983.9077,0,2.219811E-05,0,,,,,
"Lavalight3",PointLight,3766.687,336.4844,983.9077,0,2.219811E-05,0,,,,,
"Lavalight4",PointLight,4727.704,-143.8438,983.9077,0,2.219811E-05,0,,,,,
"Lavalight5",PointLight,5146.44,1369.918,983.9077,0,2.219811E-05,0,,,,,
"Lavalight6",PointLight,5254.914,283.0234,983.9077,0,2.219811E-05,0,,,,,
"Lavalight7",PointLight,4543.871,-1441.061,983.9077,0,2.219811E-05,0,,,,,
"Lavalight8",PointLight,2916.862,1910.473,983.9077,0,2.219811E-05,0,,,,,
"Lavalight9",PointLight,2497.284,860.1465,983.9077,0,2.219811E-05,0,,,,,
"PointLight_1",PointLight,4327.188,1965.598,1275.41,0,2.219811E-05,0,,,,,
"PointLight_3",PointLight,4479.278,-607.9648,2556.123,0,2.219811E-05,0,,,,,
"PointLight_Ambient_Lava6",PointLight,1105.517,1972.555,1807.723,0,179.9999,0,,,,,
"PointLight_Ambient_Lava7",PointLight,1654.091,659.1699,2340.939,0,179.9999,0,,,,,
"SecretFound_2",SecretFound_C,4768.447,-2673.816,1513.099,0,-160.3232,0,1,0.8665146,0.6700305,,
"SphereReflectionCapture_1",SphereReflectionCapture,4059.163,1005.352,1619.04,0,179.9999,0,,,,,
"Basalt_cliff_ceiling114",StaticMeshActor,2053.496,-2488.764,3247.198,0,-4.419204,0,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling116_141",StaticMeshActor,4761.172,3912.622,2185.102,0,-38.67363,0,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling117",StaticMeshActor,943.9932,4158.08,3061.537,0,13.12353,0,87.89807,87.89807,87.89807,,
"Basalt_cliff_ceiling118",StaticMeshActor,455.7529,-770.0273,2995.988,0,169.2098,0,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling159",StaticMeshActor,-2273.251,1240.555,3525.515,1.438219,78.25828,173.7071,161.3552,107.8952,146.5775,,
"Basalt_cliff_ceiling161",StaticMeshActor,6564.659,-15.33984,3027.479,0,80.21977,0,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling162",StaticMeshActor,6265.238,1684.453,2909.098,-8.273305,-23.67303,179.9998,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling163",StaticMeshActor,943.9932,4158.08,5289.794,0,13.12353,0,87.89807,87.89807,87.89807,,
"Basalt_cliff_ceiling164",StaticMeshActor,289.4902,-1186.145,4938.256,0,-16.42501,0,87.89807,87.89807,87.89807,,
"Basalt_cliff_ceiling165",StaticMeshActor,4113.401,-2034.479,3997.695,6.830189E-06,20.0292,176.5508,87.89807,87.89807,87.89807,,
"Basalt_cliff_ceiling166",StaticMeshActor,4219.094,4262.212,4202.094,0,-32.55315,0,87.89807,87.89807,87.89807,,
"Basalt_cliff_ceiling167",StaticMeshActor,6041.088,1073.27,5112.522,0,-88.94332,0,87.89807,87.89807,87.89807,,
"Basalt_cliff_ceiling168",StaticMeshActor,3454.492,2665.439,4780.645,4.098113E-05,-32.55258,176.2887,87.89807,87.89807,87.89807,,
"Basalt_cliff_ceiling169",StaticMeshActor,-2191.206,1595.354,7241.525,1.438219,78.25782,173.7071,140.4394,119.941,146.5286,,
"Basalt_cliff_ceiling170",StaticMeshActor,2577.976,5432.061,6997.344,-5.972754,-2.200196,177.5484,146.5286,146.5286,146.5286,,
"Basalt_cliff_ceiling171",StaticMeshActor,1082.626,-3148.588,6747.648,-5.972754,-2.200196,177.5484,146.5286,146.5286,146.5286,,
"Basalt_cliff_ceiling172",StaticMeshActor,6812.484,290.3516,6433.282,2.149904,84.81333,173.9119,146.5286,146.5286,146.5286,,
"Basalt_cliff_ceiling173",StaticMeshActor,2265.729,-166.2949,621.1279,0,174.9631,0,44.73713,44.73713,44.73713,,
"Basalt_cliff_ceiling174",StaticMeshActor,-924.5557,-402.9805,8885.976,4.537506,109.984,175.4045,57.09006,57.09006,57.09006,,
"Basalt_cliff_ceiling175",StaticMeshActor,2089.591,1377.734,-448.4572,0,174.9631,0,92.93549,98.62732,81.34856,,
"Basalt_cliff_ceiling176",StaticMeshActor,5104.542,-92.35156,-514.2891,0,78.23092,0,92.93549,98.62732,81.34856,,
"Basalt_cliff_ceiling33",StaticMeshActor,2898.604,-1809.93,1126.657,0,-93.7856,0,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling46",StaticMeshActor,3255.564,-2588.523,2939.128,0,179.9999,179.2609,79.68987,79.68987,79.68987,,
"Basalt_cliff_ceiling53",StaticMeshActor,6855.811,2536.223,954.3545,0,-87.19981,0,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling96",StaticMeshActor,4115.022,3185.061,212.3516,0,163.8197,0,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling97",StaticMeshActor,1151.304,3615.553,940.9961,0,5.986438,0,87.89807,87.89807,87.89807,,
