object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"AmbientLight10",AmbientLight_C,-7950.031,-6550.023,-3800,,,,,,,,
"AmbientLight11_5",AmbientLight_C,-3042.609,-2695.531,-2624.97,,,,,,,,
"AmbientLight12_2",AmbientLight_C,-103.1953,2158.578,951.2832,,,,,,,,
"AmbientLight13_6",AmbientLight_C,-1631.063,-721.6719,1637.764,,,,,,,,
"AmbientLight14_8",AmbientLight_C,-10.48438,435.2344,1218.68,,,,,,,,
"AmbientLight15",AmbientLight_C,-13530.4,-2735.063,-3509.225,,,,,,,,
"AmbientLight16",AmbientLight_C,-10691.47,-2371.781,-3106.776,0,8.437529,0,,,,,
"AmbientLight17",AmbientLight_C,12412.16,8291.102,-3591.07,,,,,,,,
"AmbientLight18_2",AmbientLight_C,-3225.781,353.2188,-4996.416,,,,,,,,
"AmbientLight19",AmbientLight_C,10635.54,4684.938,821.498,,,,,,,,
"AmbientLight192_2",AmbientLight_C,2615.984,-4163.445,3942.303,0,-142,0,,,,,
"AmbientLight196",AmbientLight_C,-2002.945,-7772.148,3942.303,0,-142,0,,,,,
"AmbientLight20_2",AmbientLight_C,8411.566,2388.406,-3140.504,,,,,,,,
"AmbientLight21",AmbientLight_C,7320.227,-1857.898,-3410.689,,,,,,,,
"AmbientLight22",AmbientLight_C,6986.527,1875.094,-3127.702,,,,,,,,
"AmbientLight23",AmbientLight_C,8963.5,1889.547,-4091.266,,,,,,,,
"AmbientLight24",AmbientLight_C,6595.563,1300.711,-4078.463,,,,,,,,
"AmbientLight25",AmbientLight_C,7237.898,-1749.688,-4077.652,,,,,,,,
"AmbientLight26",AmbientLight_C,26.53125,4050.688,623.6387,,,,,,,,
"AmbientLight27_2",AmbientLight_C,-7410.508,-1014.023,208.5928,,,,,,,,
"AmbientLight28",AmbientLight_C,-5977.844,-2959.43,225.0469,,,,,,,,
"AmbientLight2_2",AmbientLight_C,9323.148,6046.578,1084,,,,,,,,
"AmbientLight3",AmbientLight_C,2291.25,-4808.754,-3903.855,,,,,,,,
"AmbientLight4",AmbientLight_C,9919.93,5555.906,-3774.863,,,,,,,,
"AmbientLight5_2",AmbientLight_C,-8720.047,-2099.578,-3106.776,0,8.437529,0,,,,,
"AmbientLight6",AmbientLight_C,-9150.656,-5875.32,-3106.776,0,8.437529,0,,,,,
"AmbientLight7",AmbientLight_C,10751.14,7319.094,-3593.32,,,,,,,,
"AmbientLight8",AmbientLight_C,-9872.109,-864.4609,-3526.441,0,8.437529,0,,,,,
"AmbientLight9_2",AmbientLight_C,9281.094,-2023.063,-3821.659,,,,,,,,
"AmbientLight_3",AmbientLight_C,-2091.586,-4882.773,-3917.566,,,,,,,,
"PostRainbow_LavaAmbient2_Cue1",AmbientSound,8522.141,-721.125,-4229.99,0,9.00003,0,,,,,
"PostRainbow_LavaAmbient2_Cue2",AmbientSound,5206.898,-2303.609,-4229.99,0,9.00003,0,,,,,
"PostRainbow_LavaAmbient2_Cue3",AmbientSound,2032.727,-4247.285,-4435.226,0,14.00089,0,,,,,
"PostRainbow_LavaAmbient2_Cue4",AmbientSound,2210.07,-5412.742,-4435.226,0,14.00089,0,,,,,
"PostRainbow_LavaAmbient2_Cue5",AmbientSound,-6194.852,-7068.086,-4229.99,0,9.00003,0,,,,,
"PostRainbow_LavaAmbient2_Cue6",AmbientSound,-10471.7,-6599.68,-4229.99,0,9.00003,0,,,,,
"PostRainbow_LavaAmbient2_Cue7",AmbientSound,-6690.727,-3937.117,-4229.99,0,9.00003,0,,,,,
"PostRainbow_LavaAmbient2_Cue8",AmbientSound,-11904.23,-5633.844,-4229.99,0,9.00003,0,,,,,
"AudioVolume10_13",AudioVolume,34.13281,856.3125,-1112.728,0,92.81188,0,12.24919,5.804834,10.06002,,
"AudioVolume11",AudioVolume,-211.7891,6135.891,745.4766,0,89.99938,0,28.6489,14.63942,7.735361,,
"AudioVolume2",AudioVolume,9964.094,5342.844,697.3438,0,-45.00027,0,27.58089,16.31157,5.911772,,
"AudioVolume3",AudioVolume,11570.05,9605.141,142.7998,0,44.9996,0,27.58089,22.56183,5.911772,,
"AudioVolume4",AudioVolume,12597.29,8980.297,-3668.736,0,84.37453,0,41.52489,34.02723,5.911772,,
"AudioVolume5",AudioVolume,5251.543,467.25,-3691.972,0,84.37453,0,63.8525,49.51059,8.270757,,
"AudioVolume6",AudioVolume,2229.117,-4836.148,-3789.755,0,92.81201,0,15.85159,25.38261,8.945154,,
"AudioVolume7",AudioVolume,-7820.055,-4085.359,-2835.185,0,92.81201,0,48.56911,74.40916,17.7629,,
"AudioVolume8",AudioVolume,-2257.32,988.5156,-5138.695,0,81.56186,0,26.93224,23.96958,7.513612,,
"AudioVolume9",AudioVolume,-16.79688,2398.531,-3452.972,0,92.81188,0,4.018488,4.003174,20.51645,,
"AudioVolume_1",AudioVolume,7265.332,2142.297,697.3447,0,28.12105,0,27.58089,9.020479,5.911772,,
"BallButton2_2",BallButton_C,582.5781,406.0938,651.3662,,,,,,,,
"BP_AND_gate_2",BP_AND_gate_C,-1786.219,-700.8125,367.1221,,,,,,,,
"BP_AquaticSurface3_2",BP_AquaticSurface_C,-8365.617,-1685.734,-49.7627,0,146.2499,0,185.378,85.07616,1,,
"BP_BlackoutVolume2_3",BP_BlackoutVolume_C,-9979.602,15.28125,-3340,0,-171.5619,0,16.06516,6.710109,17.54255,,
"BP_BlackoutVolume3_5",BP_BlackoutVolume_C,-3350.602,-1799.875,-4466.109,-1.562103,2.339075,123.7189,2.133516,6.081277,6.081277,,
"BP_BlackoutVolume5_2",BP_BlackoutVolume_C,-8021.742,-392.6328,388.6777,-81.55109,132.1916,179.9987,3.340371,3.340371,3.340371,,
"BP_BlackoutVolume6",BP_BlackoutVolume_C,-3062.813,-1639.141,-4250.989,-56.24438,-89.99417,-177.1878,2.133516,6.081277,6.081277,,
"BP_BlackoutVolume7",BP_BlackoutVolume_C,-2820.07,-1770.227,-4468.649,-1.561737,2.339832,123.72,2.133516,6.081277,6.081277,,
"BP_BlackoutVolume8",BP_BlackoutVolume_C,-3062.883,-1945.453,-4710.323,-59.05286,-90.26425,-176.9611,2.133516,6.081277,6.081277,,
"BP_Campfire2_2",BP_Campfire_C,-5844.32,-5517.859,2647.386,,,,3,3,3,,
"BP_Campfire9_2",BP_Campfire_C,11746.98,8164.656,22.45605,0,47.8124,0,,,,,
"SM_Door_06d_55",BP_Door_06_C,-9072.68,-8916.848,-3701,0,8.437607,0,,,,,
"BP_EngagementCup_Base12_37",BP_EngagementCup_Base_C,-1669.43,-951.5781,542.5732,,,,,,,,
"BP_EngagementCup_Base13_40",BP_EngagementCup_Base_C,1087.281,-3323.574,938.2949,,,,,,,,
"BP_EngagementCup_Base2_7",BP_EngagementCup_Base_C,-1008.156,7898.563,326.0684,0,-109.6863,0,2,2,2,,
"BP_EngagementCup_Base3_10",BP_EngagementCup_Base_C,9110.703,8427.234,1568.502,7.09255,-58.17847,18.39596,,,,,
"BP_EngagementCup_Base4_13",BP_EngagementCup_Base_C,11433.87,12251.37,-500.7813,0,16.87663,0,,,,,
"BP_EngagementCup_Base5_16",BP_EngagementCup_Base_C,-2953.727,-2888.508,-2803.939,0,5.625028,0,,,,,
"BP_EngagementCup_Base6_19",BP_EngagementCup_Base_C,-4209.734,-917.4219,-4227.83,0,-25.31149,0,,,,,
"BP_EngagementCup_Base7_22",BP_EngagementCup_Base_C,800.2969,470.2969,115.5371,0,-44.99973,0,,,,,
"BP_EngagementCup_Base9_28",BP_EngagementCup_Base_C,-8735.242,-8962.512,-2851,0,8.437864,0,,,,,
"BP_EngagementCup_Base_2",BP_EngagementCup_Base_C,-9089.469,-347.3594,6508.398,-2.812439,30.93981,-2.8125,,,,,
"BP_MagnetBlockVolume5_2",BP_MagnetBlockVolume_C,-3036.969,-2430.18,-3002.481,0,-14.07265,0,3.707726,1,2.641957,,
"BP_MagnetBlockVolume6",BP_MagnetBlockVolume_C,-2678.305,-2550.297,-3093.887,0,-33.75007,0,1.711239,1,2.641957,,
"BP_MagnetBlockVolume7",BP_MagnetBlockVolume_C,-2994.813,-3018.695,-3002.481,0,2.812408,0,5.548888,1.362285,2.641957,,
