object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"BP_Bed10",BP_Bed2_C,23682.83,-39947.59,-2186.408,0,-152.0391,0,,,,,
"BP_Bed11",BP_Bed2_C,23515.55,-40036.38,-2186.408,0,-152.0391,0,,,,,
"BP_Bed6_2",BP_Bed2_C,25861.39,-42036.23,-2299.499,0,-28.62708,0,,,,,
"BP_Bed7",BP_Bed2_C,24102.45,-39724.78,-2186.408,0,-152.0391,0,,,,,
"BP_Bed8",BP_Bed2_C,24198.7,-44903.16,-2186.408,0,65.51134,0,,,,,
"BP_Bed9",BP_Bed2_C,23935.17,-39813.57,-2186.408,0,-152.0391,0,,,,,
"BP_BlueKing2",BP_BlueKing_C,30212.31,-42702.44,-2211.263,0,21.35035,0,,,,,
"BP_BluePrince3",BP_BluePrince2_C,24525.5,-40654.91,-2062.333,0,145.4752,0,,,,,
"BP_Campfire_2",BP_Campfire_C,27512.86,-42591.72,-1982.585,,,,,,,,
"BP_Miner_2",BP_Miner_C,30653.84,-42775.94,-2169.815,0,13.38723,0,,,,,
"BP_MR_Miracle2",BP_MR_Miracle_C,27714.09,-42605.45,-1909.459,0,172.3194,0,,,,,
"BP_Redking2",BP_Redking_C,23716.34,-40438.83,-2075.391,0,0.000164,0,,,,,
"BP_RedQueen2",BP_RedQueen_C,23836.84,-40351.59,-2074.371,0,-112.5615,0,,,,,
"Wild_Grass_7_Mobile10",BurnableBush_Grass_C,26712.52,-41080.02,-2332.421,0,175.2603,0,14.27945,11.11257,14.27945,,
"Wild_Grass_7_Mobile11",BurnableBush_Grass_C,24791.56,-40065.17,-2154.388,0,-179.7521,0,21.18362,21.18362,21.18362,,
"Wild_Grass_7_Mobile12",BurnableBush_Grass_C,25221.52,-44457.24,-2046.093,16.22421,-54.02448,8.094657,12.15398,12.15398,12.15398,,
"Wild_Grass_7_Mobile13",BurnableBush_Grass_C,24744.72,-44376.14,-2168.425,-18.02881,103.5488,0.01742382,12.15398,12.15398,12.15398,,
"Wild_Grass_7_Mobile14",BurnableBush_Grass_C,25952.56,-42676.18,-2296.018,8.92347,88.80413,2.786695,12.15398,12.15398,12.15398,,
"Wild_Grass_7_Mobile15",BurnableBush_Grass_C,25767.03,-43071.39,-2296.018,8.923457,-88.99341,2.786732,13.71451,13.71451,13.71451,,
"Wild_Grass_7_Mobile2",BurnableBush_Grass_C,28080.39,-43029.18,-2098.167,0,-66.74542,0,17.84319,17.84319,17.84319,,
"Wild_Grass_7_Mobile3",BurnableBush_Grass_C,29350.06,-41659.14,-2214.133,0,-109.3912,0,18.63534,18.63534,19.45434,,
"Wild_Grass_7_Mobile4",BurnableBush_Grass_C,29820.53,-43274.93,-2213.778,0,-157.4658,0,26.1022,26.1022,26.1022,,
"Wild_Grass_7_Mobile5",BurnableBush_Grass_C,25046.25,-44564.53,-2101.941,-2.448517,55.45065,11.65452,12.16542,12.16542,12.16542,,
"Wild_Grass_7_Mobile6",BurnableBush_Grass_C,24993.58,-44156.25,-2192.826,8.92347,12.59873,2.786685,12.15398,12.15398,12.15398,,
"Wild_Grass_7_Mobile7",BurnableBush_Grass_C,23531.31,-43585.7,-2164.293,2.663815,88.32704,-7.496826,12.15398,12.15398,12.15398,,
"Wild_Grass_7_Mobile8",BurnableBush_Grass_C,26426.52,-40895.47,-2332.421,0,-1.452362,0,11.6476,11.64076,14.27945,,
"Wild_Grass_7_Mobile9",BurnableBush_Grass_C,26046,-40618.67,-2332.421,0,-179.7521,0,14.27945,14.27945,14.27945,,
"Wild_Grass_7_Mobile_12",BurnableBush_Grass_C,28097.28,-43339.72,-2063.543,,,,23.783,23.783,23.783,,
"CactusRandom2",CactusRandom_C,26598.08,-42842.22,-1977.081,0,-135.318,0,,,,,
"CactusRandom3",CactusRandom_C,26701.03,-43702.16,-1977.081,0,-30.22757,0,,,,,
"CactusRandom4",CactusRandom_C,30494.42,-41865.13,-2258.614,0,118.0575,0,,,,,
"CactusRandom_2",CactusRandom_C,24158.59,-42070.22,-2025.884,0,-52.39374,0,,,,,
"Cardboard2",Cardboard_C,27281.88,-43509.92,-1693.786,3.415094E-05,-108.0923,-30.00009,3.086605,3.086605,3.086605,,
"Cardboard3",Cardboard_C,28585.38,-41613.19,-1959.502,1.366038E-05,30.00013,-30.00009,3.086605,3.086605,3.086605,,
"Cardboard4",Cardboard_C,28713.13,-41888.36,-1979.146,1.366038E-05,-150,-30.00009,3.086605,3.086605,3.086605,,
