object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"SecretLavaArea_SoftLockPrevention_AbilityChecker_BeamGold",AbilityChecker_C,2748.716,9488.385,4050.949,0,180,0,1.011281,1.011281,1.011281,,
"BeamPreviewLocation",Actor,10176.47,11391.74,3869.155,20.59143,0.7176869,6.412796E-07,10.5,1,1,,
"FortressRoot",Actor,11637.31,12546.64,4227,0,-81.99961,0,,,,,
"KillVolumesEmitterZLocation",Actor,-989.7119,8158.558,3372,0,53.00879,0,,,,,
"LavaRoot",Actor,-649.9536,8148.306,3372,0,180,0,,,,,
"SecretArea_WaterRoot",Actor,-4579.754,5708.915,3277,0,43.99477,0,1,0.9999998,1,,
"SecretLavaArea_Ladder",Actor,-3688.574,4257.604,4065.197,0,18.42766,-21.34283,,,,,
"SupportBeam1",Actor,-8768.703,3953.939,6144.631,1.659633,106.9878,125.1374,,,,,
"SupportBeam2",Actor,-9099.053,2958.528,6144.631,1.659633,61.98633,125.1375,,,,,
"SupportBeam3",Actor,-7530.211,5591.538,4634.953,-19.55827,98.09325,173.9837,,,,,
"SupportBeam4",Actor,-8980.384,2880.82,6589.14,1.659415,61.9912,-114.8406,,,,,
"SupportBeam5",Actor,-3095.922,15431.06,4385.146,1.659633,11.9962,125.1375,,,,,
"SupportBeam6",Actor,-4253.378,15246.71,3877.079,-17.17274,-11.70779,53.42736,1,1,0.6130417,,
"SupportBeam7_4",Actor,-5610.782,15373.86,3985.498,23.07748,-22.85279,117.3014,,,,,
"AmbientLight10",AmbientLight_C,-1714.989,1735.771,5545.444,-9.155273E-05,-136.9246,7.999838E-05,,,,,
"AmbientLight11_3",AmbientLight_C,-4877.149,7543.782,4377,0,180,0,,,,,
"AmbientLight12",AmbientLight_C,-7073.174,7612.55,4377,0,180,0,,,,,
"AmbientLight13_5",AmbientLight_C,-2385.75,-2261.619,4753.786,0,180,0,,,,,
"AmbientLight14",AmbientLight_C,-6314.098,9507.898,4001.991,0,180,0,,,,,
"AmbientLight15",AmbientLight_C,-6313.61,4936.998,3071.69,0,180,0,,,,,
"AmbientLight152_2",AmbientLight_C,-8570.188,2053.746,-11.30493,0,180,0,,,,,
"AmbientLight153",AmbientLight_C,-8570.188,3209.433,-11.30493,0,180,0,,,,,
"AmbientLight154",AmbientLight_C,-8700.195,4505.023,83.19067,0,180,0,,,,,
"AmbientLight155",AmbientLight_C,-8805.021,5363.243,83.19067,0,180,0,,,,,
"AmbientLight156",AmbientLight_C,-8948.262,7039.701,83.19067,0,180,0,,,,,
"AmbientLight157",AmbientLight_C,-9042.467,8345.496,-68.78955,0,180,0,,,,,
"AmbientLight158",AmbientLight_C,-8844.934,10099.88,158.7861,0,180,0,,,,,
"AmbientLight159",AmbientLight_C,-8644.778,3161.617,5865.425,0,180,0,,,,,
"AmbientLight16",AmbientLight_C,-8055.365,2056.119,2779.685,0,180,0,,,,,
"AmbientLight160",AmbientLight_C,-7269.807,4157.766,5180.827,0,180,0,,,,,
"AmbientLight161",AmbientLight_C,-6364.362,5669.198,4377.006,0,180,0,,,,,
"AmbientLight162_2",AmbientLight_C,57.55591,20199.03,5030.047,0,180,0,,,,,
"AmbientLight163",AmbientLight_C,-1236.071,19009.9,5358.761,0,180,0,,,,,
"AmbientLight164",AmbientLight_C,-715.707,20348.2,5030.047,0,180,0,,,,,
"AmbientLight165",AmbientLight_C,-1025.883,19204.61,4337.003,0,180,0,,,,,
"AmbientLight17",AmbientLight_C,-6340.988,193.417,2533.64,0,180,0,,,,,
"AmbientLight18",AmbientLight_C,-7236.663,-1885.942,3828.524,0,180,0,,,,,
"AmbientLight19",AmbientLight_C,-8467.297,2012.532,3828.524,0,180,0,,,,,
"AmbientLight20",AmbientLight_C,-3303.112,5296.094,3106.605,0,180,0,,,,,
"AmbientLight203_2",AmbientLight_C,519.6748,22709.71,6542,0,180,0,,,,,
"AmbientLight204",AmbientLight_C,-139.979,21214.71,6662,0,180,0,,,,,
"AmbientLight21_2",AmbientLight_C,10514.31,11682.62,6497,,,,,,,,
"AmbientLight22_2",AmbientLight_C,-3421.628,7479.823,6366.709,0,180,0,,,,,
"AmbientLight23",AmbientLight_C,-2198.349,6254.2,6366.709,0,180,0,,,,,
"AmbientLight231",AmbientLight_C,-3067.768,6502.625,6981.076,0,180,0,,,,,
"AmbientLight247",AmbientLight_C,-10590.96,15583.8,3729.53,0,180,0,,,,,
"AmbientLight24_2",AmbientLight_C,10596.71,11996.98,4469.251,,,,,,,,
"AmbientLight25_5",AmbientLight_C,-9316.574,15326.82,4682.228,0,180,0,,,,,
"AmbientLight26",AmbientLight_C,-8479.354,15336.15,4682.228,0,180,0,,,,,
"AmbientLight27",AmbientLight_C,-7774.603,14733.39,4163.992,0,180,0,,,,,
"AmbientLight28",AmbientLight_C,-7546.981,1332.528,5180.827,0,180,0,,,,,
"AmbientLight29",AmbientLight_C,-7905.768,2420.708,5180.827,0,180,0,,,,,
"AmbientLight2_2",AmbientLight_C,-3077.924,10408.58,6726.024,4.216959,53.22435,5.621045,,,,,
"AmbientLight3",AmbientLight_C,-2203.465,10903.4,7043.245,0,53.01068,0,,,,,
"AmbientLight30",AmbientLight_C,-5948.961,-742.126,3828.524,0,180,0,,,,,
"AmbientLight31_3",AmbientLight_C,-975.7306,11839.26,5993.84,0,180,0,,,,,
"AmbientLight32",AmbientLight_C,-1272.02,12002.49,5037.606,0,180,0,,,,,
"AmbientLight33",AmbientLight_C,-1772.251,12623.94,5106.878,0,180,0,,,,,
"AmbientLight34",AmbientLight_C,-1768.96,13340.55,5106.878,0,180,0,,,,,
"AmbientLight35",AmbientLight_C,-1229.502,13053.49,4541.644,0,180,0,,,,,
"AmbientLight36",AmbientLight_C,-1674.406,10841.43,3966.893,0,180,0,,,,,
"AmbientLight37",AmbientLight_C,-1627.889,8938.379,4431.464,0,180,0,,,,,
"AmbientLight38_6",AmbientLight_C,2381.771,8668.207,5596.472,,,,,,,,
"AmbientLight39_7",AmbientLight_C,10596.71,11558.28,4664.972,,,,,,,,
"AmbientLight4",AmbientLight_C,1317.205,13291.95,5796.39,0,53.01068,0,,,,,
"AmbientLight40",AmbientLight_C,13493.01,12487.1,4681.733,,,,,,,,
