object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"TreeLookActor",Actor,519316,618649,401782.7,,,,,,,,
"barrel_37",StaticMeshActor,40287,46557.38,12769.54,0,0,-0.3424683,100,100,100,,
"Cartoon_plank_625",StaticMeshActor,-67184,-89911.75,4444.32,-89.65393,89.99887,-0.003662109,550,550,550,,
"Cartoon_plank_626",StaticMeshActor,-12785.5,-89911.75,4444.289,-89.64944,89.99665,-0.004180908,550,550,550,,
"Cartoon_plank_630",StaticMeshActor,121835.5,-25000.63,13650.32,0,-179.9999,0.3424425,550,487.9097,550,,
"Cartoon_plank_631",StaticMeshActor,121835.5,23697.5,13941.41,0,-179.9999,0.3424425,550,487.9097,550,,
"Cartoon_plank_632",StaticMeshActor,121835.5,71952.78,14379.04,0,-179.9999,0.3424425,550,487.9097,550,,
"Cartoon_plank_634",StaticMeshActor,118023,-24945.94,4835.421,-89.65112,89.99551,89.98878,550,487.9097,550,,
"Cartoon_plank_635",StaticMeshActor,118024.5,23751.22,5124.258,-89.65338,89.99773,89.99262,550,487.9097,550,,
"Cartoon_plank_636",StaticMeshActor,118025.5,72007.34,5412.144,-89.65451,89.99716,89.99375,550,487.9097,550,,
"Cartoon_plank_637",StaticMeshActor,102601,89343,13073.63,0,-89.99988,0,550,550,550,,
"Cartoon_plank_638",StaticMeshActor,48202.5,89350.31,14333.71,-0.3424377,-89.99988,0,550,550,550,,
"Cartoon_plank_641",StaticMeshActor,102600.5,85593.16,5493.281,-89.65225,90,179.9958,550,550,550,,
"Cartoon_plank_642",StaticMeshActor,48201.5,85593.16,5493.25,-89.65225,90,179.9958,550,550,550,,
"Cartoon_plank_645",StaticMeshActor,-86419.5,68833.69,14211.18,0,4.8E-05,-0.3424683,550,487.9097,550,,
"Cartoon_plank_646",StaticMeshActor,-86419.5,20576.56,13922.72,0,4.8E-05,-0.3424683,550,487.9097,550,,
"Cartoon_plank_647",StaticMeshActor,-86419.5,-28120.56,13631.7,0,4.8E-05,-0.3424683,550,487.9097,550,,
"Cartoon_plank_648",StaticMeshActor,-86419.5,-76377.69,13343.27,0,4.8E-05,-0.3424683,550,487.9097,550,,
"Cartoon_plank_649",StaticMeshActor,-82592,68883.28,5411.379,-89.65851,90.00114,-90.00113,550,487.9097,550,,
"Cartoon_plank_650",StaticMeshActor,-82606.5,20628.28,5107.81,-89.64944,89.99663,-89.99606,550,487.9097,550,,
"Cartoon_plank_651",StaticMeshActor,-82608,-28069.84,4814.532,-89.65112,89.99606,-89.99606,550,487.9097,550,,
"Cartoon_plank_652",StaticMeshActor,-82609,-76325,4525.589,-89.65112,89.99606,-89.99606,550,487.9097,550,,
"Cartoon_plank_83",StaticMeshActor,-67185,-93774.38,13239.23,0.3424452,90.00011,6.80363E-07,550,550,550,,
"Cartoon_plank_84",StaticMeshActor,-12786,-93774.38,13239.2,0.3424452,90.00011,6.80363E-07,550,550,550,,
"CavemanTree10",StaticMeshActor,300539,-849554,401782.7,0,33.74953,0,4500,4500,4500,,
"CavemanTree11",StaticMeshActor,83340.5,-1663085,401782.7,0,-33.75055,0,4500,4500,4500,,
"CavemanTree12",StaticMeshActor,-396349.5,-2088474,590576.7,0,-101.2506,0,5555,5555,5555,,
"CavemanTree13",StaticMeshActor,-1062750,772963.6,544744.8,-0.3164063,-67.50025,-0.1310425,7510,7510,7510,,
"CavemanTree14",StaticMeshActor,7178.5,-272906.5,46917.85,-0.09298706,-150.0002,0.1610725,1333,1333,1800,,
"CavemanTree15",StaticMeshActor,99490.5,-251080.4,38307.66,0.03229996,169.9999,0.1831645,1200,1200,1600,,
"CavemanTree16",StaticMeshActor,205843.5,-219062.3,30074.6,0.2623202,130.0003,0.2201182,1200,1200,1600,,
"CavemanTree23",StaticMeshActor,291327.5,732516,46798.5,0,-150.0001,0,1500,1555,2000,,
"CavemanTree24",StaticMeshActor,407611.5,651126,46798.5,0,99.99974,0,1500,1555,2000,,
"CavemanTree26",StaticMeshActor,372003.5,271869,33008.81,0.1712192,29.99917,-0.2965698,1333,1333,1222,,
"CavemanTree28",StaticMeshActor,-179623.5,320124,23441.5,0,-30.00046,0,1555,1555,1425.514,,
"CavemanTree7",StaticMeshActor,-93363.5,-287333.1,37226.97,-0.1831665,-80.00003,-0.0322876,1200,1200,1600,,
"CavemanTree9",StaticMeshActor,519316,618649.8,401782.7,0,89.99966,0,4500,4500,4500,,
"CrystalPivoted10",StaticMeshActor,-78597.5,65716,14371.38,0,41.62841,-86.18253,2,2,2,,
"CrystalPivoted11",StaticMeshActor,-78445,66057,14366.81,-3.74377,78.72574,-83.62923,2,2,2,,
"CrystalPivoted12",StaticMeshActor,-78445.5,66011,14407.31,-7.055312,-215.8587,-51.24751,1.5,1.5,1.5,,
"CrystalPivoted13",StaticMeshActor,-78308.5,65772,14350.31,15.80163,-141.377,-87.11732,0.44,0.44,0.44,,
"CrystalPivoted14",StaticMeshActor,-78394,65648,14350.31,15.80162,-10.94451,-87.11753,0.44,0.44,0.44,,
"CrystalPivoted15",StaticMeshActor,-78347.5,65700,14350.31,15.80163,103.6877,-87.11723,0.44,0.44,0.44,,
"CrystalPivoted16",StaticMeshActor,-78316,65673,14351.88,0,0,-74.91211,0.5,0.5,0.294342,,
"CrystalPivoted2",StaticMeshActor,-78442,65710,14374.66,-3.778752,81.8484,-52.07924,0.66,0.66,0.66,,
"CrystalPivoted3",StaticMeshActor,-78350,65827,14356.56,10.52163,28.38935,-77.80307,0.66,0.66,0.66,,
"CrystalPivoted4",StaticMeshActor,-78379.5,65810,14350.31,15.80162,-10.94451,-87.11753,0.44,0.44,0.44,,
"CrystalPivoted5",StaticMeshActor,-78368,65795,14360.47,10.33812,-92.12906,-56.5667,0.44,0.44,0.44,,
"CrystalPivoted6",StaticMeshActor,-78349.5,65660,14350.41,15.80163,-185.7836,-87.1172,0.44,0.44,0.44,,
"CrystalPivoted7",StaticMeshActor,-78362,65674,14360.56,10.33813,-266.9683,-56.56579,0.44,0.44,0.44,,
"CrystalPivoted8",StaticMeshActor,-78301,65815,14362.63,0,41.62841,-86.18253,,,,,
"CrystalPivoted9",StaticMeshActor,-78445.5,65750,14350.31,15.80163,-141.377,-87.11732,0.44,0.44,0.44,,
"CrystalPivoted_2",StaticMeshActor,-78417,65710,14358.06,0,0,-86.18276,,,,,
"HouseBig25_275",StaticMeshActor,-235314,-138469,165301.2,0.3424452,90.00011,6.80363E-07,400,400,400,,
"HouseBIG3",StaticMeshActor,231160.5,484621,117468.3,0.2623202,49.99915,-0.2201233,1.2,1.2,1.2,,
"pipe_47",StaticMeshActor,499826,129.25,-10048.47,90,179.9605,179.9604,,,,,
"pipe_48",StaticMeshActor,499641.5,60.5,-10048.44,90,90,-0.002410889,,,,,
"pipe_49",StaticMeshActor,499641.5,-55.5,-10048.44,90,90,-0.002410889,,,,,
"pipe_50",StaticMeshActor,499641.5,-173.5,-10048.44,90,90,-0.002410889,,,,,
"Rope_Middle_LP2",StaticMeshActor,172731,119748,140854.8,-90,0,-51.98877,1100,200,200,,
"Rope_Middle_LP_130",StaticMeshActor,185056,84240,140854.8,-90,0,-51.98929,1100,200,200,,
"Spruce2",StaticMeshActor,-98410,391790.6,10337.11,-0.3358459,-78.74988,-0.06680298,250,250,250,,
"Spruce3",StaticMeshActor,205199,378204.8,10255.91,-0.3358459,-78.74988,-0.06680298,250,250,250,,
"Spruce5_732",StaticMeshActor,-125323.5,1166282,19705.16,0,0,-0.3424683,555,555,555,,
"Spruce7",StaticMeshActor,439958,895772.6,-5227.39,-0.2846985,-123.7507,0.1902534,550,550,550,,
"Stump89",StaticMeshActor,677708.5,-1220719,3247.688,0,-168.7501,0,750,750,750,,
"Stump94",StaticMeshActor,522015,619725,3247.156,0,89.99966,0,750,750,750,,
"Stump96",StaticMeshActor,302932.5,-851201,3247.156,0,33.74953,0,750,750,750,,
"Stump97",StaticMeshActor,82735.5,-1665926,3247.156,0,-33.7506,0,750,750,750,,
"Stump98",StaticMeshActor,-396957.5,-2091318,3247.156,0,22.49949,0,888,888,888,,
"Tree_1_Mesh43",StaticMeshActor,161646,-309599,1115.594,0.1803853,75.90135,-0.0453186,600,600,600,,
"Tree_1_Mesh44",StaticMeshActor,161646,-309599,1115.594,0,75.90144,0,600,600,600,,
"Tree_1_Mesh47",StaticMeshActor,242145,11026.97,-3743.699,0.3321248,75.90117,-0.08343506,450,450,450,,
"Tree_1_Mesh48",StaticMeshActor,242145,11026.97,-3743.699,0.3321248,75.90117,-0.08343506,450,450,450,,
"Tree_1_Mesh49",StaticMeshActor,83988.5,226900,17399.47,0,75.90144,0,10000,10000,10000,,
"Tree_1_Mesh72",StaticMeshActor,158550,34857,40882.09,-19.9997,23.90995,7.7E-05,500,500,500,,
"Tree_1_Mesh73",StaticMeshActor,182227.5,44771.63,113037.6,-19.86058,24.02337,-0.3327477,500,500,500,,
"Tree_1_Mesh74",StaticMeshActor,227875.5,66586,40882.03,20.00007,23.91026,8.5E-05,500,500,500,,
"Tree_1_Mesh75",StaticMeshActor,204198,55504.41,113101.8,20.13855,23.79578,-0.3333501,500,500,500,,
"Tree_1_Mesh76",StaticMeshActor,105549.5,187788.3,42496.81,-19.92422,23.97167,-0.1807702,500,500,500,,
