object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"SplashRoom_LavaRoot",Actor,5995.928,-1935.922,1058.975,0,-151,0,,,,,
"AmbientLight109_5",AmbientLight_C,4567.898,-1902.285,1381.194,0,-151,0,,,,,
"AmbientLight110_8",AmbientLight_C,3361.701,-1227.387,2629.408,0,-151,0,,,,,
"AmbientLight111_11",AmbientLight_C,2629.933,1485.724,2223.992,0,-151,0,,,,,
"AmbientLight112",AmbientLight_C,3397.187,3078.654,2602.381,0,-151,0,,,,,
"AmbientLight21_2",AmbientLight_C,4335.548,-2073.068,1640.034,0,-151,0,,,,,
"AmbientLight246",AmbientLight_C,755.9385,1321.331,2299.141,0,-151,0,,,,,
"AmbientLight24_4",AmbientLight_C,4423.156,-2749.14,1640.034,0,-151,0,,,,,
"LavaAmbient2_Cue1",AmbientSound,4726.513,-224.9258,1142.604,0,2.219811E-05,0,,,,,
"LavaAmbient2_Cue2",AmbientSound,2747.916,1537.807,1142.604,0,2.219811E-05,0,,,,,
"CrackHoleDecal29_219",DecalActor,1204.456,2779.882,3455.602,0.0004234717,85.25032,89.99962,2.312599,1.656299,1.656299,,
"CrackHoleDecal30",DecalActor,637.0303,2753.1,3026.8,2.150246,102.2235,-174.8008,3.630329,2.315164,2.315164,,
"CrackHoleDecal31_223",DecalActor,1616.858,2954.205,3316.567,2.150116,102.2241,-56.67001,3.630329,1.616254,1.616254,,
"DecalCrack12",DecalActor,5628.986,-111.7773,1743.074,0.0002322264,-65.00232,89.99949,,,,,
"DecalCrack14",DecalActor,6076.378,-1075.437,1844.11,-90,90,120.0057,2.847793,1.923895,1.923895,,
"DecalCrack2_13",DecalActor,5521.915,125.208,1727.476,0.0002322264,-89.99992,89.99996,,,,,
"DecalCrack3_16",DecalActor,5696.338,1034.135,1910.144,-22.49963,-179.9999,-179.9999,,,,,
"DecalCrack4_19",DecalActor,958.833,2155.556,1774.415,0.0002595472,90.0002,-106.8752,3.211813,0.5523412,0.5488576,,
"DecalCrack5_24",DecalActor,1014.778,404.2754,1763.042,0.0003278491,-123.7549,89.99849,,,,,
"DecalCrack6_27",DecalActor,4118.451,34.4707,1433.16,0.0002253962,-123.7524,-179.9996,1.834433,1.417217,1.417217,,
"DecalCrack7_30",DecalActor,3136.606,310.668,1206.115,-58.2786,-134.4348,134.4349,1,1.389516,1.389516,,
"DecalCrack8_42",DecalActor,1655.726,2885.029,2794.542,10.38409,112.8958,-85.64664,3.181052,0.8639623,0.852446,,
"DecalCrack9_47",DecalActor,2696.233,221.6182,1642.421,11.25028,-89.99996,89.99988,1.246457,0.7990746,0.7990746,,
"DecalCrack_10",DecalActor,4140.472,2665.658,1593.635,-30.54936,109.1067,72.56722,2.199949,1.599974,1.599974,,
"NailCrack",DecalActor,4022.468,132.8398,1086.397,6.830189E-05,-123.753,-180,1,1.286234,1.286234,,
"Nailcrack2",DecalActor,4179.671,-1182.189,1174.12,4.098113E-05,168.75,89.99995,1,1.84851,1.84851,,
"NailCrackDecal",DecalActor,4033.84,153.8496,1190.011,-2.049057E-05,-123.7547,89.99792,,,,,
"NailCrackDecal2",DecalActor,3156.938,433.0928,1121.032,-0.0001229434,-140.6245,89.9998,2.789267,2.789267,2.789267,,
"NailCrackDecal3",DecalActor,3774.19,973.7607,1113.758,-33.74978,123.7508,89.99987,0.5629388,0.5629388,0.5629388,,
"NailCrackDecal4",DecalActor,3812.074,1022.393,1110.426,-25.79413,158.5297,135.4961,0.4293585,0.4293585,0.4293585,,
"NailCrackDecal5",DecalActor,4579.532,1968.95,1379.176,-25.79413,158.5297,135.4961,0.2441438,0.2441438,0.2441438,,
"NailCrackDecal6",DecalActor,4574.236,1969.034,1352.882,-25.79367,158.5299,45.50204,0.244144,0.244144,0.244144,,
"NailCrackDecal7",DecalActor,4516.371,2015.081,1339.761,-0.2894702,135.6166,50.87202,0.244144,0.244144,0.244144,,
"NailCrackDecal8",DecalActor,4278.854,2023.982,1225.99,-90,26.56503,-150.3165,2.316463,2.316463,2.316463,,
"NailCrackDecal9",DecalActor,4948.481,2090.262,1633.842,3.411584,99.80851,-89.99934,2.380847,3.728762,3.728762,,
"SquareHoleDecal1Sharp6_215",DecalActor,4393.487,-833.0391,2855.084,90,90,-152.7574,1,0.529625,0.529625,,
"SmokeLava2",Emitter,2894.834,1239.21,1142.003,0,2.219811E-05,0,,,,,
"SmokeLava_6",Emitter,4558.168,337.5928,1151.929,0,2.219811E-05,0,,,,,
"SupralandMagmaSmoke5",Emitter,2988.865,1293.715,1070.06,0,65.54623,0,0.33009,0.33009,0.33009,,
"SupralandMagmaSmoke6_0",Emitter,4197.278,977.6426,1070.06,0,65.54623,0,0.33009,0.33009,0.33009,,
"SupralandMagmaSmoke7_1",Emitter,4675.416,-933.1396,1070.06,0,65.54623,0,0.33009,0.33009,0.33009,,
"LavaKillvolume4",Killvolume_C,3053.53,889.7373,1021.117,0,174.2364,0,3.046546,2.613754,0.081974,,
"PipeSystemBuilder4",PipeSystemBuilder_C,2122.05,2246.026,553.583,-7.666901,-78.43365,80.79684,,,,,
"PipeSystemBuilder5",PipeSystemBuilder_C,4691.166,1669.994,1227.645,7.53296,-112.3222,95.82568,0.528378,0.528378,0.528378,,
"PipeSystemBuilder7",PipeSystemBuilder_C,5811.463,1123.178,2026.21,-9.992035,113.5301,-145.9023,0.5,0.5,0.5,,
"CaveAmbientLight5",PointLight,-1789.217,3139.984,1380.805,0,2.219811E-05,0,,,,,
"Lavalight",PointLight,4081.856,1653.424,983.9077,0,2.219811E-05,0,,,,,
"Lavalight10",PointLight,1612.513,737.9971,983.9077,0,2.219811E-05,0,,,,,
"Lavalight11",PointLight,813.5869,706.793,983.9077,0,2.219811E-05,0,,,,,
"Lavalight12",PointLight,243.7764,770.1758,983.9077,0,2.219811E-05,0,,,,,
"Lavalight13",PointLight,473.5068,2007.479,983.9077,0,2.219811E-05,0,,,,,
"Lavalight14",PointLight,1222.07,2002.433,983.9077,0,2.219811E-05,0,,,,,
"Lavalight15",PointLight,2007.384,1884.726,983.9077,0,2.219811E-05,0,,,,,
"Lavalight3",PointLight,3766.483,336.4551,983.9077,0,2.219811E-05,0,,,,,
"Lavalight4",PointLight,4727.458,-143.8491,983.9077,0,2.219811E-05,0,,,,,
"Lavalight5",PointLight,5146.199,1369.889,983.9077,0,2.219811E-05,0,,,,,
"Lavalight6",PointLight,5254.67,283,983.9077,0,2.219811E-05,0,,,,,
"Lavalight7",PointLight,4543.646,-1441.025,983.9077,0,2.219811E-05,0,,,,,
"Lavalight8",PointLight,2916.664,1910.404,983.9077,0,2.219811E-05,0,,,,,
"Lavalight9",PointLight,2497.091,860.1377,983.9077,0,2.219811E-05,0,,,,,
"PointLight_1",PointLight,4326.956,1965.521,1275.41,0,2.219811E-05,0,,,,,
"PointLight_3",PointLight,4479.056,-607.959,2556.123,0,2.219811E-05,0,,,,,
"PointLight_Ambient_Lava6",PointLight,1105.343,1972.459,1807.723,0,179.9999,0,,,,,
"PointLight_Ambient_Lava7",PointLight,1653.922,659.1367,2340.939,0,179.9999,0,,,,,
"SecretFound_2",SecretFound_C,4467.99,-2788.757,1513.099,0,-177.1969,0,1.441745,0.8665146,1.468041,,
"Basalt_cliff_ceiling114",StaticMeshActor,2053.472,-2488.753,3247.198,0,-4.421116,0,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling116_141",StaticMeshActor,6330.161,2656.5,2185.102,0,-38.67363,0,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling117",StaticMeshActor,943.8945,4158.008,3061.537,0,13.12353,0,87.89807,87.89807,87.89807,,
"Basalt_cliff_ceiling118",StaticMeshActor,455.751,-770.0234,2995.988,0,169.2098,0,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling159",StaticMeshActor,-2273.248,1240.555,3525.515,1.438219,78.25828,173.7071,161.3552,107.8952,146.5775,,
"Basalt_cliff_ceiling161",StaticMeshActor,6564.373,-15.34033,3027.479,0,80.21977,0,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling162",StaticMeshActor,6264.962,1684.383,2909.098,-8.273305,-23.67303,179.9998,83.31458,83.31458,83.31458,,
"Basalt_cliff_ceiling163",StaticMeshActor,943.8945,4158.008,5289.794,0,13.12353,0,87.89807,87.89807,87.89807,,
"Basalt_cliff_ceiling164",StaticMeshActor,289.4736,-1186.131,4938.256,0,-16.4295,0,87.89807,87.89807,87.89807,,
